category,sentiment
TASTE,0.17087457525643354
TRAVEL,0.15615772750911638
HOME & LIVING,0.1558247163127082
FOOD & DRINK,0.15209012267963373
STYLE,0.14965624310455722
QUEER VOICES,0.13512879017817375
GOOD NEWS,0.12894013390705095
FIFTY,0.11702085219483506
STYLE & BEAUTY,0.11540015537187943
WEDDINGS,0.11526326061245991
CULTURE & ARTS,0.10606028780086042
ARTS,0.10115701222849997
PARENTS,0.10016365617456009
WELLNESS,0.09155373741765493
HEALTHY LIVING,0.08383654996255832
PARENTING,0.08358175510035366
ENTERTAINMENT,0.08139977898999037
WOMEN,0.07747698580477835
ARTS & CULTURE,0.0729003478611395
SCIENCE,0.0723420824562597
COLLEGE,0.06944234479745844
TECH,0.06722948710650707
SPORTS,0.06418457802419789
EDUCATION,0.06310135325560005
IMPACT,0.06273334373614224
ENVIRONMENT,0.06173739346090454
MONEY,0.05731703184080746
BUSINESS,0.052710424469123565
DIVORCE,0.05150371807442736
RELIGION,0.041731015727183754
LATINO VOICES,0.03948511612117807
GREEN,0.03766727028621575
COMEDY,0.036920557077096426
BLACK VOICES,0.03657252821446581
POLITICS,0.02873748011923536
MEDIA,0.025961821597754852
WEIRD NEWS,0.020428229128265137
WORLDPOST,0.011203420213695515
WORLD NEWS,0.006669276156241903
U.S. NEWS,0.0037540400103944034
THE WORLDPOST,-0.0026099696210913465
CRIME,-0.03873359171190446
